iter	Passed	Remaining
0	14	14313
1	27	13671
2	39	13284
3	53	13423
4	68	13589
5	82	13613
6	97	13768
7	110	13731
8	124	13706
9	137	13646
10	151	13625
11	164	13538
12	177	13498
13	191	13492
14	205	13483
15	218	13439
16	231	13392
17	244	13357
18	258	13351
19	273	13385
20	286	13355
21	298	13286
22	313	13301
23	326	13297
24	339	13246
25	353	13256
26	367	13228
27	379	13185
28	393	13160
29	405	13126
30	419	13111
31	432	13088
32	445	13068
33	459	13043
34	471	13012
35	484	12981
36	497	12957
37	512	12969
38	525	12951
39	538	12923
40	552	12925
41	566	12921
42	579	12906
43	594	12919
44	608	12923
45	623	12930
46	636	12907
47	650	12893
48	663	12867
49	676	12845
50	689	12829
51	702	12808
52	716	12805
53	730	12803
54	745	12804
55	759	12799
56	772	12785
57	786	12774
58	798	12742
59	812	12733
60	825	12714
61	837	12666
62	849	12635
63	862	12620
64	875	12590
65	888	12572
66	903	12579
67	916	12567
68	932	12579
69	946	12578
70	961	12580
71	973	12550
72	984	12499
73	996	12468
74	1010	12460
75	1023	12442
76	1035	12417
77	1045	12355
78	1058	12340
79	1072	12331
80	1085	12316
81	1099	12304
82	1107	12237
83	1120	12221
84	1133	12198
85	1148	12208
86	1162	12199
87	1175	12185
88	1186	12142
89	1199	12125
90	1208	12075
91	1222	12070
92	1232	12023
93	1252	12074
94	1267	12072
95	1277	12026
96	1291	12019
97	1300	11973
98	1314	11960
99	1324	11919
100	1333	11868
101	1348	11868
102	1362	11866
103	1371	11813
104	1384	11802
105	1397	11784
106	1408	11757
107	1421	11741
108	1434	11728
109	1447	11710
110	1457	11671
111	1466	11629
112	1476	11586
113	1488	11571
114	1499	11541
115	1512	11529
116	1525	11515
117	1535	11473
118	1545	11443
119	1555	11403
120	1569	11399
121	1582	11392
122	1591	11348
123	1605	11338
124	1617	11325
125	1636	11350
126	1645	11307
127	1655	11278
128	1666	11249
129	1679	11242
130	1692	11229
131	1701	11189
132	1715	11185
133	1724	11145
134	1733	11108
135	1746	11094
136	1759	11084
137	1770	11060
138	1780	11029
139	1790	10999
140	1800	10969
141	1809	10934
142	1819	10902
143	1832	10891
144	1844	10879
145	1854	10846
146	1863	10811
147	1872	10777
148	1884	10764
149	1894	10734
150	1908	10730
151	1918	10704
152	1928	10676
153	1938	10647
154	1946	10613
155	1957	10588
156	1966	10561
157	1977	10538
158	1991	10531
159	2005	10527
160	2015	10500
161	2023	10467
162	2033	10440
163	2043	10415
164	2052	10388
165	2061	10355
166	2070	10325
167	2078	10292
168	2086	10260
169	2096	10235
170	2109	10224
171	2123	10222
172	2134	10203
173	2144	10178
174	2152	10148
175	2161	10121
176	2172	10101
177	2182	10079
178	2191	10053
179	2202	10032
180	2211	10008
181	2220	9980
182	2234	9976
183	2244	9953
184	2254	9929
185	2266	9918
186	2276	9895
187	2286	9876
188	2295	9852
189	2306	9832
190	2315	9809
191	2324	9782
192	2334	9761
193	2344	9738
194	2355	9723
195	2364	9700
196	2378	9694
197	2387	9672
198	2397	9650
199	2406	9627
200	2418	9612
201	2432	9609
202	2446	9606
203	2460	9601
204	2474	9594
205	2482	9570
206	2492	9550
207	2502	9529
208	2512	9508
209	2524	9496
210	2538	9493
211	2549	9478
212	2562	9466
213	2575	9458
214	2583	9433
215	2597	9428
216	2607	9408
217	2616	9386
218	2625	9363
219	2640	9362
220	2655	9360
221	2666	9344
222	2679	9336
223	2694	9335
224	2709	9331
225	2720	9317
226	2735	9313
227	2745	9296
228	2755	9275
229	2764	9254
230	2777	9247
231	2791	9239
232	2800	9218
233	2813	9210
234	2827	9203
235	2841	9198
236	2854	9189
237	2863	9168
238	2876	9160
239	2890	9151
240	2902	9142
241	2914	9128
242	2926	9115
243	2936	9099
244	2947	9084
245	2957	9066
246	2971	9057
247	2980	9038
248	2994	9032
249	3003	9011
250	3015	8996
251	3025	8979
252	3038	8971
253	3051	8962
254	3063	8950
255	3075	8938
256	3086	8922
257	3098	8912
258	3109	8896
259	3118	8876
260	3129	8862
261	3140	8845
262	3149	8825
263	3159	8807
264	3170	8794
265	3183	8783
266	3197	8776
267	3210	8769
268	3223	8760
269	3237	8752
270	3250	8742
271	3260	8725
272	3272	8715
273	3286	8706
274	3295	8689
275	3306	8673
276	3315	8653
277	3326	8638
278	3336	8621
279	3350	8614
280	3359	8594
281	3369	8578
282	3383	8571
283	3397	8565
284	3407	8548
285	3420	8538
286	3430	8521
287	3442	8511
288	3452	8494
289	3465	8484
290	3474	8465
291	3484	8448
292	3497	8439
293	3510	8429
294	3523	8421
295	3534	8407
296	3545	8392
297	3554	8374
298	3567	8364
299	3580	8354
300	3593	8345
301	3603	8328
302	3616	8318
303	3626	8302
304	3640	8295
305	3652	8284
306	3666	8275
307	3677	8262
308	3691	8255
309	3706	8248
310	3719	8241
311	3733	8233
312	3744	8217
313	3756	8207
314	3770	8200
315	3782	8187
316	3791	8169
317	3802	8155
318	3812	8137
319	3822	8121
320	3835	8112
321	3848	8102
322	3857	8084
323	3867	8068
324	3877	8053
325	3886	8035
326	3899	8025
327	3908	8006
328	3917	7988
329	3927	7974
330	3941	7965
331	3950	7949
332	3959	7931
333	3969	7914
334	3978	7897
335	3991	7887
336	4001	7871
337	4014	7863
338	4024	7846
339	4037	7836
340	4047	7821
341	4056	7804
342	4069	7794
343	4078	7777
344	4091	7767
345	4101	7752
346	4113	7741
347	4124	7728
348	4138	7720
349	4149	7706
350	4162	7697
351	4172	7681
352	4182	7666
353	4192	7650
354	4204	7639
355	4216	7626
356	4227	7613
357	4237	7599
358	4250	7589
359	4263	7579
360	4276	7570
361	4289	7559
362	4301	7548
363	4314	7538
364	4327	7528
365	4340	7519
366	4353	7508
367	4366	7498
368	4378	7486
369	4391	7478
370	4404	7468
371	4419	7460
372	4429	7446
373	4443	7438
374	4458	7430
375	4469	7417
376	4482	7407
377	4493	7394
378	4506	7384
379	4517	7370
380	4530	7361
381	4540	7345
382	4549	7329
383	4562	7319
384	4573	7304
385	4583	7291
386	4598	7283
387	4608	7269
388	4623	7261
389	4634	7249
390	4648	7239
391	4659	7226
392	4669	7212
393	4679	7197
394	4692	7187
395	4707	7180
396	4718	7167
397	4731	7156
398	4741	7142
399	4751	7126
400	4760	7111
401	4771	7097
402	4781	7083
403	4791	7068
404	4801	7053
405	4810	7038
406	4821	7024
407	4831	7010
408	4840	6994
409	4850	6980
410	4862	6968
411	4876	6959
412	4887	6947
413	4899	6935
414	4909	6919
415	4921	6909
416	4932	6895
417	4943	6883
418	4955	6872
419	4968	6861
420	4979	6847
421	4988	6832
422	4997	6817
423	5010	6806
424	5023	6795
425	5036	6786
426	5049	6775
427	5058	6760
428	5068	6745
429	5078	6731
430	5087	6716
431	5098	6703
432	5110	6691
433	5119	6676
434	5130	6663
